,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ENR,banned_books,SCH_FTETEACH_TOT,NMCNTY,County Name,overall_TPI,Closest_Match,Median Household Income,School District,dist_key
118,TEXAS,4800258,SCHOOL OF SCIENCE AND TECHNOLOGY,1581,False,0.08159392789373814,harris,harris,-0.54,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE,57083.0,Stephenville Independent School Distict (9-12) in Bluff Dale / 915,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE
119,TEXAS,4800259,TRINITY CHARTER SCHOOL,505,False,0.1188118811881188,harris,harris,-0.54,HART,43523.0,"Hart Independent School District / 1,534",HART
120,TEXAS,4800261,HARRIS COUNTY DEPT OF ED,284,False,0.20422535211267606,harris,harris,-0.54,GLASSCOCK COUNTY,81563.0,"Glasscock County Independent School District / 1,190",GLASSCOCK COUNTY
121,TEXAS,4800262,MEYERPARK ELEMENTARY,248,False,0.05241935483870968,harris,harris,-0.54,,,,
122,TEXAS,4800263,DRAW ACADEMY,653,False,0.042879019908116385,harris,harris,-0.54,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
123,TEXAS,4800264,KIPP AUSTIN PUBLIC SCHOOLS INC,5167,False,0.056318947164699054,harris,harris,-0.54,AUSTIN,53676.0,"Austin Independent School District / 675,107",AUSTIN
124,TEXAS,4800265,AUSTIN DISCOVERY SCHOOL,524,False,0.11068702290076336,travis,travis,-0.7050000000000001,AUSTIN,53676.0,"Austin Independent School District / 675,107",AUSTIN
125,TEXAS,4800266,HARMONY SCIENCE ACAD (SAN ANTONIO),4308,False,0.06731662024141133,bexar,bexar,-0.5700000000000001,HARMONY,50941.0,"Harmony Independent School District / 6,274",HARMONY
126,TEXAS,4800268,BROOKS ACADEMY OF SCIENCE AND ENGINEERING,2905,False,0.05211703958691911,bexar,bexar,-0.5700000000000001,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
127,TEXAS,4800270,LA ACADEMIA DE ESTRELLAS,1088,False,0.057904411764705885,dallas,dallas,-0.63,LA VERNIA,84665.0,"La Vernia Independent School District / 14,619",LA VERNIA
128,TEXAS,4800271,RICHLAND COLLEGIATE HIGH SCHOOL,582,False,0.0,dallas,dallas,-0.63,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE,57083.0,Stephenville Independent School Distict (9-12) in Bluff Dale / 915,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE
129,TEXAS,4800272,HARMONY SCIENCE ACAD (EL PASO),3481,False,0.07411663315139327,el paso,el paso,-0.685,HARMONY,50941.0,"Harmony Independent School District / 6,274",HARMONY
130,TEXAS,4800274,HARMONY SCHOOL OF EXCELLENCE,4941,False,0.06609997976118195,harris,harris,-0.54,HARMONY,50941.0,"Harmony Independent School District / 6,274",HARMONY
131,TEXAS,4800275,STEP CHARTER SCHOOL,469,False,0.06823027718550106,harris,harris,-0.54,HART,43523.0,"Hart Independent School District / 1,534",HART
132,TEXAS,4800278,CROSSTIMBERS ACADEMY,109,False,0.06422018348623854,parker,parker,0.84,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
133,TEXAS,4800279,CORPUS CHRISTI MONTESSORI SCHOOL,146,False,0.06164383561643835,nueces,nueces,0.52,CORPUS CHRISTI,46193.0,"Corpus Christi Independent School District / 241,559",CORPUS CHRISTI
